TIPO;NUMERO DE ESTACION;DIA INICIO/MES INICIO/AÑO INICIO;HORA INICIO:MINUTO INICIO;NUMERO DE MEZCLA;NUMERO DE PREMEZCLA;NUMERO DE BATCH;NUMERO RECETA;PESADA DE CORCHO;MINUTOS PESADA;PESADA D.U;TIEMPO VACIADO (1):TIEMPO VACIADO (2);TIEMPO INYECCION AGUA (s);PESADA INYECCION AGUA;TIEMPO MEZCLA AGUA;TIEMPO INYECCION COLA;PESADA INYECCION COLA;TIEMPO MEZCLA COLA;TIEMPO VACIADO MEZC. MED(1):TIEMPO VACIADO MEZC. MED(2);MOLDE INICIAL EXT1;MOLDE FINAL EXT1;NOMBRE RECETA;MOLDE INICIAL EXT2;MOLDE FINAL EXT2;TAPONES BUENOS G1;TAPONES MALOS G1;TIEMPO EXTRACC. G1 (1):TIEMPO EXTRACC. G1 (2);TAPONES BUENOS G2;TAPONES MALOS G2;TIEMPO EXTRACC. G2 (1):TIEMPO EXTRACC. G2 (2);TAPONES BUENOS DESC G1;TAPONES BUENOS DESC G2;
202;12;27/1/22;22:57;59;12;20;38;63070;630;3911;23:15;51;2624;9;451;17663;480;23:30;232;130;DIL;232;130;6028;0;0:25;6028;0;0;25;0;0;
202;12;27/1/22;23:17;60;12;20;38;63202;627;3856;23:35;51;2629;9;467;17704;472;23:50;131;170;DIL;131;170;5808;44;1:5;5808;44;1;5;0;0;
202;12;27/1/22;23:37;61;12;20;38;63249;698;3922;23:55;51;2632;9;442;17714;459;0:31;170;68;DIL;170;68;6028;0;1:25;6028;44;1;25;0;0;
202;12;28/1/22;0:38;1;12;20;38;63272;616;3860;0:56;52;2640;8;417;17724;473;1:11;203;95;DIL;203;95;5764;0;2:4;5764;0;2;3;0;0;
202;12;28/1/22;1:17;3;12;20;38;63215;623;3857;1:34;52;2630;8;402;17704;452;1:49;229;148;DIL;229;143;6952;0;2:45;6732;0;2;44;0;0;
202;12;28/1/22;2:7;5;12;20;38;62365;647;3805;2:22;40;1969;20;401;17469;401;2:44;145;32;DIL;145;32;5588;0;3:36;5588;0;3;35;0;0;
202;12;28/1/22;2:7;5;12;20;38;62365;647;3805;2:22;40;1969;20;401;17469;401;2:44;145;32;DIL;145;32;5588;0;3:36;5588;0;3;35;0;0;
202;12;28/1/22;2:37;6;12;20;38;62544;606;3816;2:51;39;1971;21;362;17520;362;3:3;33;169;DIL;33;166;5984;0;3:55;5808;0;3;55;0;0;
202;12;28/1/22;2:57;7;12;20;38;61799;629;3770;3:11;39;1952;21;432;17305;432;3:37;40;154;DIL;39;154;5016;0;4:28;5060;0;4;27;0;0;
202;12;28/1/22;3:29;8;12;20;38;67163;648;4097;3:45;42;2113;18;395;18809;395;3:54;155;49;DIL;155;49;5896;0;4:47;5896;0;4;47;0;0;
202;12;28/1/22;3:47;9;12;20;38;66365;634;3982;4:1;42;2090;18;416;18584;449;4:13;50;186;DIL;50;186;5984;0;5:7;5940;44;5;6;0;0;
202;12;28/1/22;4:3;10;12;20;38;63367;621;3866;4:18;40;2000;20;430;17745;430;4:33;187;80;DIL;186;80;5852;0;5:26;5896;0;5;26;0;0;
202;12;28/1/22;4:20;11;12;20;38;62881;612;3899;4:37;40;1989;20;447;17612;448;4:52;81;210;DIL;81;210;5676;0;5:45;5632;44;5;44;0;0;
202;12;28/1/22;4:39;12;12;20;38;63398;665;3931;4:56;40;2014;20;449;17755;449;5:11;211;98;DIL;210;98;5544;0;6:3;5588;0;6;3;0;0;
202;12;28/1/22;4:59;13;12;20;38;63097;603;3849;5:15;39;1994;21;442;17673;442;5:29;99;229;DIL;99;229;5764;0;6:22;5764;0;6;22;0;0;
202;12;28/1/22;5:17;14;12;20;38;63114;679;3850;5:34;40;2000;20;466;17673;466;5:48;230;117;DIL;230;117;5544;0;6:40;5544;0;6;40;0;0;
202;12;28/1/22;5:36;15;12;20;38;63198;600;3792;5:53;39;2003;21;475;17704;475;6:6;118;3;DIL;118;3;5500;0;6:59;5500;0;6;58;0;0;
202;12;28/1/22;5:55;16;12;20;38;63184;595;3918;6:11;40;2002;20;444;17694;450;6:25;4;139;DIL;4;139;5940;0;7:18;5896;44;7;18;0;0;
202;12;28/1/22;6:13;17;12;20;38;63401;601;3868;6:29;40;2011;20;490;17755;490;6:44;140;25;DIL;139;25;5456;44;7:36;5500;44;7;36;0;0;
202;12;28/1/22;6:32;18;12;20;38;63339;591;3864;6:49;39;1997;21;483;17735;483;7:2;25;159;DIL;25;159;5896;65492;7:56;5896;0;7;56;0;0;
202;12;28/1/22;6:51;19;12;20;38;63737;621;3889;7:7;39;2014;21;512;17847;512;7:22;160;54;DIL;160;54;5852;44;8:15;5852;44;8;15;0;0;
202;12;28/1/22;7:9;20;12;20;38;63297;649;3862;7:26;40;2006;20;583;17724;584;7:41;54;189;DIL;54;189;5940;65492;8:35;5940;0;8;35;0;0;
202;12;28/1/22;7:28;21;12;20;38;62979;590;3842;7:46;40;1999;20;589;17643;589;8:1;190;72;DIL;190;72;5368;0;8:53;5368;0;8;52;0;0;
202;12;28/1/22;7:48;22;12;20;38;63192;594;3855;8:5;39;1998;21;579;17694;579;8:19;73;203;DIL;73;203;5720;0;9:11;5676;44;9;11;0;0;
202;12;28/1/22;8:7;23;12;20;38;63337;634;3927;8:23;40;2003;20;558;17735;558;8:38;204;101;DIL;203;94;5984;0;9:31;5720;0;9;30;0;0;
202;12;28/1/22;8:25;24;12;20;38;63237;602;3795;8:42;40;1999;20;659;17714;659;8:57;102;233;DIL;104;230;5764;44;9:50;5588;0;9;50;0;0;
202;12;28/1/22;8:44;25;12;20;38;63251;620;3859;9:2;40;2011;20;619;17714;619;9:16;233;116;DIL;236;116;5368;65492;10:8;5236;0;10;8;0;0;
202;12;28/1/22;9:4;26;12;20;38;63163;608;3853;9:21;39;1994;21;535;17694;535;9:34;117;13;DIL;117;13;5984;0;10:28;5984;0;10;28;0;0;
202;12;28/1/22;9:23;27;12;20;38;63130;625;3851;9:38;40;2008;20;591;17684;591;9:54;14;149;DIL;14;149;5940;0;10:47;5940;0;10;47;0;0;
202;12;28/1/22;12:52;33;12;20;38;61788;609;3770;13:9;39;1957;21;537;17305;537;13:32;149;103;DIL;146;112;5412;0;14:36;6336;0;14;37;0;0;
202;12;28/1/22;13:57;34;12;20;38;63620;637;3881;14:11;40;2019;20;509;17817;509;14:22;7;121;DIL;7;121;5016;0;15:13;5016;0;15;13;0;0;
202;12;28/1/22;14:13;35;12;20;38;60106;591;3607;14:27;38;1896;22;394;16835;518;14:39;122;16;DIL;122;16;5896;0;15:32;5852;44;15;32;0;0;
202;12;28/1/22;14:29;36;12;20;38;63184;621;3855;14:44;40;2003;20;399;17694;499;14:58;17;156;DIL;16;156;6116;0;15:52;6160;0;15;52;0;0;
202;12;28/1/22;14:46;37;12;20;38;63057;617;3847;15:2;39;1991;21;369;17663;515;15:19;157;54;DIL;157;54;6028;0;16:12;6028;0;16;12;0;0;
