TIPO;NUMERO DE ESTACION;DIA INICIO/MES INICIO/AÑO INICIO;HORA INICIO:MINUTO INICIO;NUMERO DE MEZCLA;NUMERO DE PREMEZCLA;NUMERO DE BATCH;NUMERO RECETA;PESADA DE CORCHO;MINUTOS PESADA;PESADA D.U;TIEMPO VACIADO (1):TIEMPO VACIADO (2);TIEMPO INYECCION AGUA (s);PESADA INYECCION AGUA;TIEMPO MEZCLA AGUA;TIEMPO INYECCION COLA;PESADA INYECCION COLA;TIEMPO MEZCLA COLA;TIEMPO VACIADO MEZC. MED(1):TIEMPO VACIADO MEZC. MED(2);MOLDE INICIAL EXT1;MOLDE FINAL EXT1;NOMBRE RECETA;MOLDE INICIAL EXT2;MOLDE FINAL EXT2;TAPONES BUENOS G1;TAPONES MALOS G1;TIEMPO EXTRACC. G1 (1):TIEMPO EXTRACC. G1 (2);TAPONES BUENOS G2;TAPONES MALOS G2;TIEMPO EXTRACC. G2 (1):TIEMPO EXTRACC. G2 (2);TAPONES BUENOS DESC G1;TAPONES BUENOS DESC G2;
202;13;8/9/22;22:26;66;13;204;38;64857;594;3892;22:43;51;1703;9;383;18163;472;23:0;26;160;DIL;26;160;5896;0;23:53;5940;0;23;53;0;0;
202;13;8/9/22;22:26;66;13;204;38;64857;594;3892;22:43;51;1703;9;383;18163;472;23:0;26;160;DIL;26;160;5896;0;23:53;5940;0;23;53;0;0;
202;13;8/9/22;22:46;67;13;204;38;64929;603;3896;23:3;51;1703;9;392;18202;464;23:19;161;64;DIL;161;64;6248;0;0:14;6292;0;0;13;0;0;
202;13;8/9/22;23:5;68;13;204;38;64766;606;3887;23:22;51;1698;9;474;18163;474;23:40;65;208;DIL;65;208;6336;0;0:34;6336;0;0;34;0;0;
202;13;8/9/22;23:24;69;13;204;38;64753;596;3886;23:42;51;1698;9;473;18163;473;0:0;209;104;DIL;209;104;5896;0;0:53;5940;0;0;53;0;0;
202;13;9/9/22;0:5;1;13;204;38;64710;611;3883;0:22;51;1697;9;404;18125;460;0:39;1;146;DIL;1;145;6380;0;1:34;6380;0;1;33;0;0;
202;13;9/9/22;0:24;2;13;204;38;64730;599;3884;0:41;51;1697;9;490;18125;490;1:0;147;41;DIL;146;40;5896;0;1:53;5896;0;1;53;0;0;
202;13;9/9/22;0:24;2;13;204;38;64730;599;3884;0:41;51;1697;9;490;18125;490;1:0;147;41;DIL;146;40;5896;0;1:53;5896;0;1;53;0;0;
202;13;9/9/22;0:44;3;13;204;38;64956;599;3898;1:2;51;1703;9;477;18202;482;1:19;42;174;DIL;41;174;5808;0;2:12;5896;0;2;12;0;0;
202;13;9/9/22;0:44;3;13;204;38;64956;599;3898;1:2;51;1703;9;477;18202;482;1:19;42;174;DIL;41;174;5808;0;2:12;5896;0;2;12;0;0;
202;13;9/9/22;1:4;4;13;204;38;64718;617;3884;1:21;51;1699;9;419;18125;468;1:38;175;76;DIL;175;76;6160;0;2:32;6204;0;2;32;0;0;
202;13;9/9/22;1:24;5;13;204;38;64500;616;3870;1:40;51;1696;9;411;18087;487;1:58;77;213;DIL;77;213;6028;0;2:52;6028;0;2;52;0;0;
202;13;9/9/22;1:24;5;13;204;38;64500;616;3870;1:40;51;1696;9;411;18087;487;1:58;77;213;DIL;77;213;6028;0;2:52;6028;0;2;52;0;0;
202;13;9/9/22;1:43;6;13;204;38;64495;609;3870;2:1;49;1701;11;423;18087;483;2:18;214;109;DIL;214;109;5896;0;3:11;5940;0;3;11;0;0;
202;13;9/9/22;2:3;7;13;204;38;64763;596;3951;2:20;51;1695;9;470;18163;470;2:37;110;105;DIL;110;105;6600;0;5:9;7172;0;5;8;0;0;
202;13;9/9/22;2:23;8;13;204;38;64866;601;3893;2:40;51;1703;9;467;18163;467;4:33;106;209;DIL;106;208;4576;0;5:24;4532;0;5;23;0;0;
202;13;9/9/22;2:23;8;13;204;38;64866;601;3893;2:40;51;1703;9;467;18163;467;4:33;106;209;DIL;106;208;4576;0;5:24;4532;0;5;23;0;0;
202;13;9/9/22;2:42;9;13;204;38;64951;611;3898;4:36;51;1700;9;386;18202;483;4:49;210;106;DIL;209;105;5940;0;5:43;5984;0;5;43;0;0;
202;13;9/9/22;4:39;10;13;204;38;65745;606;3945;4:53;51;1721;9;397;18432;465;5:9;107;4;DIL;106;4;6028;0;6:3;6072;0;6;3;0;0;
202;13;9/9/22;4:55;11;13;204;38;64498;603;3870;5:12;50;1691;10;439;18087;466;5:29;5;137;DIL;5;137;5808;0;6:22;5852;0;6;22;0;0;
202;13;9/9/22;5:14;12;13;204;38;64810;618;3889;5:32;52;1708;8;432;18163;479;5:48;138;37;DIL;138;37;6116;0;6:42;6116;0;6;42;0;0;
202;13;9/9/22;5:14;12;13;204;38;64810;618;3889;5:32;52;1708;8;432;18163;479;5:48;138;37;DIL;138;37;6116;0;6:42;6116;0;6;42;0;0;
202;13;9/9/22;5:34;13;13;204;38;64530;617;3872;5:51;51;1700;9;382;18087;485;6:8;38;171;DIL;38;171;5852;0;7:2;5896;0;7;2;0;0;
202;13;9/9/22;5:53;14;13;204;38;64695;603;3882;6:11;51;1699;9;380;18125;482;6:27;172;68;DIL;172;68;5940;0;7:21;5984;0;7;21;0;0;
202;13;9/9/22;6:13;15;13;204;38;64575;610;3875;6:30;51;1700;9;391;18087;478;6:47;69;204;DIL;69;204;5984;0;7:41;5984;0;7;41;0;0;
202;13;9/9/22;6:13;15;13;204;38;64575;610;3875;6:30;51;1700;9;391;18087;478;6:47;69;204;DIL;69;204;5984;0;7:41;5984;0;7;41;0;0;
202;13;9/9/22;6:33;16;13;204;38;64662;612;3880;6:50;51;1701;9;446;18125;470;7:7;205;104;DIL;205;104;6072;0;8:1;6116;0;8;1;0;0;
202;13;9/9/22;6:52;17;13;204;38;64579;602;3875;7:9;50;1698;10;448;18087;450;7:27;105;1;DIL;105;1;5984;0;8:21;5984;0;8;21;0;0;
202;13;9/9/22;6:52;17;13;204;38;64579;602;3875;7:9;50;1698;10;448;18087;450;7:27;105;1;DIL;105;1;5984;0;8:21;5984;0;8;21;0;0;
202;13;9/9/22;7:12;18;13;204;38;64850;608;3892;7:29;51;1702;9;404;18163;447;7:46;2;136;DIL;2;136;5896;0;8:40;5940;0;8;40;0;0;
202;13;9/9/22;7:32;19;13;204;38;64572;612;3875;7:49;50;1699;10;422;18087;458;8:6;137;36;DIL;137;36;6116;0;9:1;6116;0;9;0;0;0;
202;13;9/9/22;7:32;19;13;204;38;64572;612;3875;7:49;50;1699;10;422;18087;458;8:6;137;36;DIL;137;36;6116;0;9:1;6116;0;9;0;0;0;
202;13;9/9/22;7:52;20;13;204;38;64650;595;3880;8:9;51;1704;9;488;18125;488;8:26;37;172;DIL;37;171;5940;0;9:20;5940;0;9;20;0;0;
202;13;9/9/22;7:52;20;13;204;38;64650;595;3880;8:9;51;1704;9;488;18125;488;8:26;37;172;DIL;37;171;5940;0;9:20;5940;0;9;20;0;0;
202;13;9/9/22;8:11;21;13;204;38;64672;606;3881;8:29;51;1693;9;500;18125;500;8:46;173;58;DIL;172;58;5456;0;9:38;5544;0;9;38;0;0;
202;13;9/9/22;8:31;22;13;204;38;64666;605;3880;8:48;51;1706;9;423;18125;426;9:4;59;190;DIL;59;189;5808;0;9:59;5764;0;9;59;0;0;
202;13;9/9/22;8:51;23;13;204;38;64763;600;3886;9:7;51;1696;9;435;18163;442;9:23;191;81;DIL;190;81;5676;0;10:18;5764;0;10;18;0;0;
202;13;9/9/22;8:51;23;13;204;38;64763;600;3886;9:7;51;1696;9;435;18163;442;9:23;191;81;DIL;190;81;5676;0;10:18;5764;0;10;18;0;0;
202;13;9/9/22;9:9;24;13;204;38;64603;606;3877;9:26;51;1700;9;424;18125;425;9:42;82;211;DIL;82;211;5676;0;10:38;5676;44;10;38;0;0;
202;13;9/9/22;9:9;24;13;204;38;64603;606;3877;9:26;51;1700;9;424;18125;425;9:42;82;211;DIL;82;211;5676;0;10:38;5676;44;10;38;0;0;
202;13;9/9/22;9:28;25;13;204;38;64421;591;3866;9:45;50;1691;10;410;18048;410;10:3;212;103;DIL;212;103;5720;0;10:57;5764;0;10;57;0;0;
202;13;9/9/22;9:47;26;13;204;38;64698;589;3882;10:5;51;1700;9;416;18125;436;10:22;104;239;DIL;104;239;5984;0;11:16;5984;0;11;16;0;0;
202;13;9/9/22;9:47;26;13;204;38;64698;589;3882;10:5;51;1700;9;416;18125;436;10:22;104;239;DIL;104;239;5984;0;11:16;5984;0;11;16;0;0;
202;13;9/9/22;10:8;27;13;204;38;64476;593;3934;10:25;51;1695;9;440;18087;440;10:42;1;127;DIL;1;127;5544;0;11:35;5588;0;11;35;0;0;
202;13;9/9/22;10:27;28;13;204;38;65013;601;3836;10:45;39;1249;21;419;18240;444;11:0;128;23;DIL;128;23;5940;0;11:54;5940;0;11;54;0;0;
202;13;9/9/22;10:27;28;13;204;38;65013;601;3836;10:45;39;1249;21;419;18240;444;11:0;128;23;DIL;128;23;5940;0;11:54;5940;0;11;54;0;0;
202;13;9/9/22;10:47;29;13;204;38;64827;599;3890;11:3;38;1246;22;409;18163;415;11:20;24;157;DIL;24;157;5852;0;12:14;5896;0;12;13;0;0;
202;13;9/9/22;10:47;29;13;204;38;64827;599;3890;11:3;38;1246;22;409;18163;415;11:20;24;157;DIL;24;157;5852;0;12:14;5896;0;12;13;0;0;
202;13;9/9/22;11:6;30;13;204;38;64889;580;3894;11:23;38;1249;22;418;18202;430;11:39;158;51;DIL;158;50;5808;0;12:33;5808;0;12;32;0;0;
202;13;9/9/22;11:25;31;13;204;38;65018;581;3902;11:42;38;1249;22;405;18240;430;11:58;52;181;DIL;51;181;5720;0;12:51;5764;0;12;51;0;0;
202;13;9/9/22;11:25;31;13;204;38;65018;581;3902;11:42;38;1249;22;405;18240;430;11:58;52;181;DIL;51;181;5720;0;12:51;5764;0;12;51;0;0;
202;13;9/9/22;11:45;32;13;204;38;64816;579;3889;12:1;38;1247;22;420;18163;420;12:17;182;72;DIL;182;72;5676;0;13:10;5720;0;13;10;0;0;
202;13;9/9/22;12:4;33;13;204;38;65090;574;3906;12:20;38;1250;22;428;18240;428;12:36;73;201;DIL;73;201;5676;0;13:29;5676;0;13;29;0;0;
202;13;9/9/22;12:4;33;13;204;38;65090;574;3906;12:20;38;1250;22;428;18240;428;12:36;73;201;DIL;73;201;5676;0;13:29;5676;0;13;29;0;0;
202;13;9/9/22;12:23;34;13;204;38;64555;578;3874;12:39;38;1242;22;401;18087;414;12:55;202;90;DIL;202;89;5588;0;13:47;5588;0;13;47;0;0;
202;13;9/9/22;12:41;35;13;204;38;64868;565;3893;12:57;38;1249;22;372;18163;403;13:13;91;216;DIL;90;216;5544;0;14:5;5588;0;14;5;0;0;
202;13;9/9/22;13:0;36;13;204;38;64833;569;3955;13:16;39;1247;21;366;18163;398;13:31;217;108;DIL;217;107;5720;0;14:24;5720;0;14;24;0;0;
202;13;9/9/22;13:18;37;13;204;38;64909;580;3895;13:34;38;1247;22;333;18202;425;13:50;109;237;DIL;108;237;5676;0;14:43;5720;0;14;42;0;0;
202;13;9/9/22;13:18;37;13;204;38;64909;580;3895;13:34;38;1247;22;333;18202;425;13:50;109;237;DIL;108;237;5676;0;14:43;5720;0;14;42;0;0;
202;13;9/9/22;13:37;38;13;204;38;64969;568;3899;13:53;38;1256;22;326;18202;415;14:8;238;123;DIL;238;123;5456;0;15:0;5500;0;15;0;0;0;
202;13;9/9/22;13:55;39;13;204;38;64875;566;3958;14:11;38;1250;22;384;18202;407;14:26;124;16;DIL;124;16;5808;0;15:19;5808;0;15;19;0;0;
202;13;9/9/22;13:55;39;13;204;38;64875;566;3958;14:11;38;1250;22;384;18202;407;14:26;124;16;DIL;124;16;5808;0;15:19;5808;0;15;19;0;0;
202;13;9/9/22;14:14;40;13;204;38;64892;570;3894;14:29;38;1252;22;372;18202;421;14:45;17;140;DIL;17;140;5412;0;15:37;5456;0;15;37;0;0;
202;13;9/9/22;14:32;41;13;204;38;64541;558;3873;14:48;37;1240;23;307;18087;402;15:3;141;30;DIL;141;30;5676;0;15:56;5676;0;15;55;0;0;
202;13;9/9/22;14:32;41;13;204;38;64541;558;3873;14:48;37;1240;23;307;18087;402;15:3;141;30;DIL;141;30;5676;0;15:56;5676;0;15;55;0;0;
202;13;9/9/22;14:51;42;13;204;38;65084;564;3906;15:6;38;1249;22;290;18240;414;15:22;31;160;DIL;31;160;5676;0;16:14;5720;0;16;14;0;0;
202;13;9/9/22;15:9;43;13;204;38;64874;556;3893;15:24;38;1249;22;304;18202;414;15:40;161;42;DIL;161;42;5324;0;16:31;5324;0;16;31;0;0;
202;13;9/9/22;15:9;43;13;204;38;64874;556;3893;15:24;38;1249;22;304;18202;414;15:40;161;42;DIL;161;42;5324;0;16:31;5324;0;16;31;0;0;
202;13;9/9/22;15:27;44;13;204;38;65014;545;3901;15:43;38;1250;22;351;18240;397;15:58;43;165;DIL;43;165;5368;0;16:49;5412;0;16;49;0;0;
202;13;9/9/22;16:3;46;13;204;38;65498;547;3930;16:18;38;1256;22;352;18355;386;16:33;53;179;DIL;52;179;5588;0;17:25;5632;0;17;25;0;0;
202;13;9/9/22;16:3;46;13;204;38;65498;547;3930;16:18;38;1256;22;352;18355;386;16:33;53;179;DIL;52;179;5588;0;17:25;5632;0;17;25;0;0;
202;13;9/9/22;16:20;47;13;204;38;65071;545;3905;16:36;42;1380;18;321;18240;405;16:51;180;63;DIL;180;63;5368;0;17:47;5412;0;17;47;0;0;
202;13;9/9/22;16:38;48;13;204;38;65398;530;3924;16:54;42;1386;18;287;18317;386;17:9;64;188;DIL;64;188;5500;0;18:5;5500;0;18;5;0;0;
202;13;9/9/22;16:38;48;13;204;38;65398;530;3924;16:54;42;1386;18;287;18317;386;17:9;64;188;DIL;64;188;5500;0;18:5;5500;0;18;5;0;0;
202;13;9/9/22;16:38;48;13;204;38;65398;530;3924;16:54;42;1386;18;287;18317;386;17:9;64;188;DIL;64;188;5500;0;18:5;5500;0;18;5;0;0;
202;13;9/9/22;16:57;49;13;204;38;65313;533;3919;17:11;42;1385;18;288;18317;393;17:27;189;75;DIL;189;75;5456;0;18:23;5500;0;18;23;0;0;
202;13;9/9/22;17:14;50;13;204;38;65319;558;3920;17:29;42;1388;18;288;18317;387;17:49;76;203;DIL;76;203;5632;0;18:41;5632;0;18;41;0;0;
202;13;9/9/22;17:14;50;13;204;38;65319;558;3920;17:29;42;1388;18;288;18317;387;17:49;76;203;DIL;76;203;5632;0;18:41;5632;0;18;41;0;0;
202;13;9/9/22;17:32;51;13;204;38;65513;582;3931;17:51;43;1395;17;342;18355;424;18:7;204;105;DIL;204;105;6160;0;19:1;6204;0;19;1;0;0;
202;13;9/9/22;17:54;52;13;204;38;64976;563;3899;18:10;51;1706;9;363;18202;429;18:27;106;239;DIL;106;239;5896;0;19:20;5896;0;19;20;0;0;
