TIPO;NUMERO DE ESTACION;DIA INICIO/MES INICIO/AÑO INICIO;HORA INICIO:MINUTO INICIO;NUMERO DE MEZCLA;NUMERO DE PREMEZCLA;NUMERO DE BATCH;NUMERO RECETA;PESADA DE CORCHO;MINUTOS PESADA;PESADA D.U;TIEMPO VACIADO (1):TIEMPO VACIADO (2);TIEMPO INYECCION AGUA (s);PESADA INYECCION AGUA;TIEMPO MEZCLA AGUA;TIEMPO INYECCION COLA;PESADA INYECCION COLA;TIEMPO MEZCLA COLA;TIEMPO VACIADO MEZC. MED(1):TIEMPO VACIADO MEZC. MED(2);MOLDE INICIAL EXT1;MOLDE FINAL EXT1;NOMBRE RECETA;MOLDE INICIAL EXT2;MOLDE FINAL EXT2;TAPONES BUENOS G1;TAPONES MALOS G1;TIEMPO EXTRACC. G1 (1):TIEMPO EXTRACC. G1 (2);TAPONES BUENOS G2;TAPONES MALOS G2;TIEMPO EXTRACC. G2 (1):TIEMPO EXTRACC. G2 (2);TAPONES BUENOS DESC G1;TAPONES BUENOS DESC G2;
202;14;4/5/22;22:44;61;14;116;54;66319;727;5505;23:5;0;0;0;465;33161;465;23:25;31;167;DIP;31;167;6028;0;0:25;5940;0;0;25;0;
202;14;4/5/22;23:7;62;14;116;54;65268;730;5352;23:27;0;0;0;457;32642;457;23:48;168;67;DIP;168;67;6116;0;0:47;6028;0;0;47;0;
202;14;4/5/22;23:29;63;14;116;54;66658;726;5467;23:50;0;0;0;476;33334;476;0:10;68;207;DIP;68;207;6160;0;1:9;6160;0;1;9;0;
202;14;5/5/22;0:14;1;14;116;54;65776;726;5394;0:35;0;0;0;481;32892;548;0:53;98;229;DIP;98;230;5808;0;1:51;5808;44;1;51;0;
202;14;5/5/22;0:37;2;14;116;54;66321;737;5439;0:56;0;0;0;494;33161;548;1:14;230;126;DIP;230;126;5984;0;2:13;5896;0;2;12;0;
202;14;5/5/22;0:58;3;14;116;54;66504;728;5454;1:17;0;0;0;513;33257;549;1:35;127;19;DIP;127;19;5808;0;2:34;5808;0;2;33;0;
202;14;5/5/22;1:19;4;14;116;54;67050;733;5499;1:38;0;0;0;526;33526;547;1:56;20;149;DIP;20;149;5720;0;2:54;5632;0;2;54;0;
202;14;5/5/22;1:40;5;14;116;54;66344;716;5374;2:1;0;0;0;512;33181;545;2:17;150;38;DIP;150;39;5632;0;3:15;5544;44;3;14;0;
202;14;5/5/22;2:3;6;14;116;54;67624;709;5546;2:20;0;0;0;506;33815;567;2:37;39;160;DIP;39;161;5368;0;3:34;5368;44;3;34;0;
202;14;5/5/22;2:22;7;14;116;54;67131;708;5505;2:40;0;0;0;470;33565;491;2:57;161;75;DIP;161;82;6776;0;3:58;6996;0;3;59;0;
202;14;5/5/22;2:42;8;14;116;54;67293;708;5451;3:0;0;0;0;626;33651;626;4:59;150;11;DIP;151;11;4444;0;5:50;4400;0;5;50;0;
202;14;5/5/22;3:2;9;14;116;54;65594;711;5314;5:1;0;0;0;539;32806;539;5:14;12;142;DIP;12;142;5720;44;6:11;5676;0;6;11;0;
