TIPO;NUMERO DE ESTACION;DIA INICIO/MES INICIO/AÑO INICIO;HORA INICIO:MINUTO INICIO;NUMERO DE MEZCLA;NUMERO DE PREMEZCLA;NUMERO DE BATCH;NUMERO RECETA;PESADA DE CORCHO;MINUTOS PESADA;PESADA D.U;TIEMPO VACIADO (1):TIEMPO VACIADO (2);TIEMPO INYECCION AGUA (s);PESADA INYECCION AGUA;TIEMPO MEZCLA AGUA;TIEMPO INYECCION COLA;PESADA INYECCION COLA;TIEMPO MEZCLA COLA;TIEMPO VACIADO MEZC. MED(1):TIEMPO VACIADO MEZC. MED(2);MOLDE INICIAL EXT1;MOLDE FINAL EXT1;NOMBRE RECETA;MOLDE INICIAL EXT2;MOLDE FINAL EXT2;TAPONES BUENOS G1;TAPONES MALOS G1;TIEMPO EXTRACC. G1 (1):TIEMPO EXTRACC. G1 (2);TAPONES BUENOS G2;TAPONES MALOS G2;TIEMPO EXTRACC. G2 (1):TIEMPO EXTRACC. G2 (2);TAPONES BUENOS DESC G1;TAPONES BUENOS DESC G2;
202;14;22/8/22;7:6;20;14;161;55;63402;735;5200;7:25;0;0;0;490;31709;490;7:45;207;92;DIZ;207;107;5500;484;8:58;6160;484;8;58;0;
202;14;22/8/22;7:6;20;14;161;55;63402;735;5200;7:25;0;0;0;490;31709;490;7:45;207;92;DIZ;207;107;5500;484;8:58;6160;484;8;58;0;
202;14;22/8/22;9:22;21;14;161;40;68681;741;4327;9:40;20;1166;40;250;15798;300;9:55;197;64;DIX;197;64;4400;44;10:59;4488;44;10;59;0;
202;14;22/8/22;9:43;22;14;161;40;68788;717;4265;10:0;20;1171;40;257;15826;1013;10:24;65;191;DIX;65;191;5588;0;11:18;5544;0;11;18;0;
202;14;22/8/22;9:43;22;14;161;40;68788;717;4265;10:0;20;1171;40;257;15826;1013;10:24;65;191;DIX;65;191;5588;0;11:18;5544;0;11;18;0;
202;14;22/8/22;10:3;23;14;161;40;68456;719;4245;10:27;20;1166;40;244;15751;495;10:43;192;84;DIX;192;84;5764;0;11:37;5808;0;11;37;0;
202;14;22/8/22;10:3;23;14;161;40;68456;719;4245;10:27;20;1166;40;244;15751;495;10:43;192;84;DIX;192;84;5764;0;11:37;5808;0;11;37;0;
202;14;22/8/22;10:30;24;14;161;40;68787;733;4334;10:47;20;1169;40;249;15826;482;11:3;85;206;DIX;85;206;5324;0;11:55;5324;0;11;55;0;
202;14;22/8/22;10:50;25;14;161;40;68638;725;4256;11:7;21;1167;39;230;15788;461;11:21;207;91;DIX;207;91;5456;0;12:14;5456;0;12;14;0;
202;14;22/8/22;10:50;25;14;161;40;68638;725;4256;11:7;21;1167;39;230;15788;461;11:21;207;91;DIX;207;91;5456;0;12:14;5456;0;12;14;0;
