HORA;Tª HORNO CALIENTE;CANAL DE AIRE;Tª HORNO FRIO;INFR. SX;INFR. DX;
0:00:01;119;161,7;77;765;751;
0:01:01;119;161,7;77;761;750;
0:02:01;119;161,8;77;764;749;
0:03:01;119;161,9;77;760;753;
0:04:01;119;161,9;77;761;761;
0:05:01;119;161,8;77;767;755;
0:06:01;119;161,9;77;767;758;
0:07:01;119;162,1;77;765;759;
0:08:01;118;162,4;77;763;755;
0:09:01;118;162,7;77;763;760;
0:10:01;119;163,1;77;762;764;
0:11:01;119;163,4;77;770;763;
0:12:01;119;163,4;77;770;765;
0:13:01;119;163,5;77;773;767;
0:14:01;119;163,4;77;767;769;
0:15:01;119;163,3;77;767;773;
0:16:01;119;163,3;77;764;770;
0:17:01;119;163,4;77;763;773;
0:18:01;119;163,5;77;766;770;
0:19:02;119;163,8;77;765;773;
0:20:01;119;164,1;77;765;770;
0:21:01;119;164,4;77;766;770;
0:22:01;119;164,6;77;765;772;
0:23:02;119;164,7;77;763;766;
0:24:01;119;164,6;77;769;763;
0:25:01;119;164,6;77;764;763;
0:26:01;120;164,5;77;765;769;
0:27:01;120;164,3;77;763;762;
0:28:01;120;164;77;762;765;
0:29:01;119;163,5;77;770;771;
0:30:01;119;163;77;765;768;
0:31:01;119;162,7;77;766;768;
0:32:01;119;162,5;77;765;763;
0:33:01;119;162,6;77;761;757;
0:34:01;119;162,7;77;764;765;
0:35:01;119;162,7;77;761;764;
0:36:01;119;162,7;77;764;762;
0:37:01;119;162,7;77;762;765;
0:38:01;119;162,4;77;761;766;
0:39:01;119;162;77;763;763;
0:40:01;119;161,8;77;765;764;
0:41:01;119;161,9;77;769;766;
0:42:01;119;162,3;77;765;761;
0:43:01;119;162,7;77;763;760;
0:44:01;119;163,1;77;765;761;
0:45:01;119;163,6;77;766;761;
0:46:01;119;164;77;770;762;
0:47:01;119;164,1;77;774;764;
0:48:01;119;163,8;77;748;770;
0:49:01;119;163,4;77;773;765;
0:50:01;119;163,1;77;765;766;
0:51:01;119;162,8;77;764;767;
0:52:01;119;162,7;77;763;763;
0:53:01;119;162,7;77;761;762;
0:54:01;119;162,7;77;761;757;
0:55:01;119;162,8;77;766;760;
0:56:01;119;162,9;77;761;760;
0:57:01;119;163;77;761;759;
0:58:01;119;163,2;77;758;765;
0:59:01;119;163,3;77;761;765;
1:00:01;119;163,4;77;757;758;
1:01:01;119;163,5;77;760;760;
1:02:01;119;163,6;77;760;757;
1:03:01;119;163,7;77;760;759;
1:04:01;119;163,8;77;758;760;
1:05:01;119;163,7;77;756;752;
1:06:01;119;163,6;77;760;757;
1:07:01;119;163,4;77;760;757;
1:08:01;119;163,2;77;762;758;
1:09:01;119;162,9;77;761;760;
1:10:01;119;162,6;77;762;758;
1:11:01;119;161,9;77;761;760;
1:12:01;119;161;77;760;758;
1:13:01;118;160,1;77;763;757;
1:14:01;118;159,6;77;765;755;
1:15:01;118;159,7;77;765;758;
1:16:01;118;160,2;77;765;755;
1:17:01;118;160,7;77;763;758;
1:18:01;117;161,2;77;765;759;
1:19:01;117;161,5;77;765;755;
1:20:01;118;161,7;77;765;758;
1:21:01;118;161,7;77;772;758;
1:22:01;118;161,7;77;738;760;
1:23:01;118;161,9;77;771;761;
1:24:01;118;162;77;768;760;
1:25:01;118;162,4;77;763;757;
