Fecha;Estacion;Mezcla;Kg_corcho;Kg_cola;Kg_DU;Tapones_buenos;Tapones_malos;Tapones_buenos_descartados
1/7/22;MA11;1;70,815;22,69;4,604;12,276;0,044;0,0
1/7/22;MA11;2;70,388;22,527;4,576;12,012;0,0;0,042
1/7/22;MA11;3;71,092;22,771;4,764;11,836;0,0;0,0
1/7/22;MA11;4;70,547;22,608;4,586;12,232;0,0;0,0
1/7/22;MA11;5;70,956;22,73;4,542;11,704;0,0;0,0
1/7/22;MA11;6;70,663;22,649;4,594;12,408;0,0;0,0
1/7/22;MA11;7;70,763;22,649;4,6;11,88;0,0;0,0
1/7/22;MA11;8;70,557;22,608;4,587;12,672;0,0;0,0
1/7/22;MA11;9;70,28;22,527;4,569;12,32;0,088;0,0
1/7/22;MA11;10;70,781;22,649;4,53;12,496;0,044;0,0
1/7/22;MA11;11;70,731;22,649;4,598;12,496;0,044;0,042
1/7/22;MA11;12;70,458;22,567;4,58;12,804;0,0;0,0
1/7/22;MA11;13;70,503;22,567;4,583;12,892;0,044;0,0
1/7/22;MA11;14;70,046;22,445;4,554;12,936;0,0;0,0
1/7/22;MA11;15;70,73;22,649;4,527;12,804;0,0;0,0
1/7/22;MA11;16;70,705;22,649;4,596;12,452;0,0;0,0
1/7/22;MA11;17;70,367;22,527;4,574;12,452;0,0;0,0
1/7/22;MA11;18;70,742;22,649;4,457;12,188;0,044;0,0
1/7/22;MA11;19;70,754;22,649;4,6;12,452;0,0;0,0
1/7/22;MA11;20;70,594;22,608;4,589;12,54;0,0;0,0
1/7/22;MA11;21;70,54;22,608;4,586;12,452;0,0;0,0
1/7/22;MA11;22;70,76;22,649;4,671;12,364;0,0;0,0
1/7/22;MA11;23;70,183;22,486;4,562;12,452;0,0;0,0
1/7/22;MA11;24;70,521;22,567;4,584;12,276;0,044;0,0
1/7/22;MA11;25;69,87;22,364;4,682;12,144;0,0;0,0
1/7/22;MA11;26;70,584;22,608;4,588;12,584;0,0;0,0
1/7/22;MA11;27;70,281;22,527;4,569;12,32;0,0;0,0
1/7/22;MA11;28;70,775;22,649;4,601;12,452;0,0;0,0
1/7/22;MA11;29;70,389;22,527;4,576;12,32;0,044;0,0
1/7/22;MA11;30;70,463;22,567;4,581;12,1;0,0;0,0
1/7/22;MA11;31;70,687;22,649;4,454;12,716;0,0;0,037
1/7/22;MA11;32;70,824;22,69;4,604;11,968;0,088;0,0
1/7/22;MA11;33;70,416;22,567;4,578;12,848;0,0;0,0
1/7/22;MA11;34;70,83;22,69;4,463;12,188;0,0;0,0
1/7/22;MA11;35;70,669;22,649;4,594;12,364;0,0;0,0
1/7/22;MA11;36;70,619;22,608;4,591;12,716;0,0;0,0
1/7/22;MA11;37;70,452;22,567;4,58;12,628;0,0;0,0
1/7/22;MA11;38;70,492;22,567;4,583;12,496;0,0;0,0
1/7/22;MA11;39;70,653;22,608;4,593;12,276;0,0;0,0
1/7/22;MA11;40;70,571;22,608;4,588;12,848;0,0;0,0
1/7/22;MA11;41;70,43;22,567;4,578;12,188;0,0;0,0
1/7/22;MA11;42;70,582;22,608;4,588;12,408;0,0;0,0
1/7/22;MA11;43;70,65;22,608;4,593;13,024;0,0;0,0
1/7/22;MA11;44;70,703;22,649;4,596;12,452;0,0;0,0
1/7/22;MA11;45;70,904;22,69;4,609;12,364;0,044;0,0
1/7/22;MA11;46;70,759;22,649;4,529;12,144;0,0;0,0
1/7/22;MA11;47;70,616;22,608;4,591;12,32;0,0;0,0
1/7/22;MA11;48;70,92;22,73;4,468;12,54;0,0;0,0
1/7/22;MA11;49;70,512;22,567;4,584;12,54;0,0;0,0
1/7/22;MA11;50;70,441;22,567;4,579;12,056;0,0;0,0
1/7/22;MA11;52;70,35;22,527;4,573;12,056;0,0;0,0
1/7/22;MA11;53;70,4;22,567;4,576;12,276;0,0;0,0
1/7/22;MA11;54;70,779;22,649;4,601;12,1;0,044;0,0
1/7/22;MA11;55;70,605;22,608;4,59;12,496;0,0;0,0
1/7/22;MA11;56;70,815;22,69;4,604;12,188;0,0;0,0
1/7/22;MA11;57;70,48;22,567;4,582;12,672;0,0;0,0
