Fecha;Estacion;Mezcla;Kg_corcho;Kg_cola;Kg_DU;Tapones_buenos;Tapones_malos;Tapones_buenos_descartados
2022-09-01;MA10;1;14,709;3,399;0,942;1,98;0,0;0,0
2022-09-01;MA10;2;64,408;14,835;3,865;9,196;0,0;0,0
2022-09-01;MA10;3;64,845;14,92;3,826;11,264;0,0;0,0
2022-09-01;MA10;4;64,809;14,92;3,824;10,824;0,0;0,0
2022-09-01;MA10;5;64,904;14,948;3,765;11,264;0,088;0,0
2022-09-01;MA10;6;64,928;14,948;3,831;10,296;0,0;0,0
2022-09-01;MA10;7;65,09;14,976;3,776;12,452;0,308;0,0
2022-09-01;MA10;8;65,029;18,235;3,837;9,416;0,0;0,0
2022-09-01;MA10;9;64,862;18,179;3,827;10,912;0,0;0,0
2022-09-01;MA10;12;65,2;18,263;3,847;11,528;0,044;0,0
2022-09-01;MA10;13;65,068;18,235;3,774;12,056;0,0;0,0
2022-09-01;MA10;14;65,089;18,235;3,841;10,648;0,0;0,0
2022-09-01;MA10;15;65,207;18,263;3,783;12,496;0,0;0,0
2022-09-01;MA10;16;65,214;18,263;3,783;13,068;1,144;0,026
2022-09-01;MA10;17;64,65;18,123;3,815;9,768;0,0;0,0
2022-09-01;MA10;18;65,196;18,263;3,847;12,408;0,0;0,0
2022-09-01;MA10;19;65,142;18,263;3,844;11,792;0,088;0,0
2022-09-01;MA10;20;65,294;18,291;3,788;12,232;0,044;0,0
2022-09-01;MA10;21;65,292;18,291;3,787;11,968;0,044;0,0
2022-09-01;MA10;22;65,068;18,235;3,84;13,86;0,0;0,0
2022-09-01;MA10;23;65,379;18,319;3,792;10,648;0,0;0,0
2022-09-01;MA10;24;65,131;18,263;3,843;12,848;0,0;0,0
2022-09-01;MA10;25;65,371;18,319;3,857;12,144;0,0;0,0
2022-09-01;MA10;26;65,239;18,291;3,784;12,408;0,0;0,0
2022-09-01;MA10;27;65,133;18,263;3,778;12,056;0,0;0,0
2022-09-01;MA10;28;65,274;18,291;3,982;12,496;0,0;0,0
2022-09-01;MA10;29;65,199;18,263;3,847;12,232;0,0;0,0
2022-09-01;MA10;30;65,183;18,263;3,781;12,496;0,0;0,0
2022-09-01;MA10;31;65,216;18,263;3,913;12,496;0,0;0,0
2022-09-01;MA10;32;64,983;18,207;3,835;12,32;0,0;0,0
2022-09-01;MA10;33;65,047;18,235;3,838;12,056;0,0;0,0
2022-09-01;MA10;34;65,056;18,235;3,839;11,968;0,088;0,0
2022-09-01;MA10;35;65,109;18,235;3,842;12,32;0,044;0,0
2022-09-01;MA10;36;65,073;18,235;3,84;12,496;0,0;0,0
2022-09-01;MA10;37;65,111;18,235;3,907;12,056;0,088;0,0
2022-09-01;MA10;38;64,984;18,207;3,835;12,056;0,0;0,0
2022-09-01;MA10;39;65,053;18,235;3,904;12,056;0,0;0,0
2022-09-01;MA10;40;65,012;18,207;3,836;11,88;0,0;0,0
2022-09-01;MA10;41;65,17;18,263;3,911;12,012;0,044;0,0
2022-09-01;MA10;42;65,08;18,235;3,84;12,232;0,0;0,0
2022-09-01;MA10;43;65,009;18,207;3,836;11,704;0,0;0,0
2022-09-01;MA10;44;65,16;18,263;3,845;12,056;0,0;0,0
2022-09-01;MA11;1;55,354;27,7;2,879;11,396;0,0;0,0
2022-09-01;MA11;2;55,593;27,822;2,891;11,44;0,0;0,0
2022-09-01;MA11;3;55,317;27,659;2,988;11,264;0,0;0,0
2022-09-01;MA11;4;55,353;27,7;2,879;11,352;0,0;0,028
2022-09-01;MA11;5;55,382;27,7;3,047;10,956;0,0;0,0
2022-09-01;MA11;6;55,493;27,782;2,886;11,572;0,044;0,0
2022-09-01;MA11;7;55,296;27,659;2,931;11,308;0,0;0,0
2022-09-01;MA11;8;55,374;27,7;2,88;11,22;0,0;0,0
2022-09-01;MA11;9;55,152;27,578;2,979;11,396;0,0;0,0
2022-09-01;MA11;10;55,518;27,782;2,887;11,044;0,088;0,0
2022-09-01;MA11;11;55,33;27,7;3,044;11,572;0,0;0,0
2022-09-01;MA11;12;55,326;27,7;2,877;11,308;0,0;0,0
2022-09-01;MA11;13;55,395;27,7;2,936;11,22;0,0;0,0
2022-09-01;MA11;14;55,547;27,782;2,889;11,484;0,0;0,0
2022-09-01;MA11;15;55,395;27,7;2,881;10,824;0,088;0,0
2022-09-01;MA11;16;55,493;27,782;2,886;11,792;0,0;0,0
2022-09-01;MA11;17;55,378;27,7;2,88;10,912;0,044;0,0
2022-09-01;MA11;18;55,482;27,741;2,886;11,484;0,0;0,0
2022-09-01;MA11;19;55,58;27,822;2,946;11,308;0,0;0,0
2022-09-01;MA11;20;55,499;27,782;2,887;11,484;0,0;0,0
2022-09-01;MA11;21;55,489;27,782;2,886;11,572;0,0;0,0
2022-09-01;MA11;22;55,5;27,782;2,887;11,572;0,0;0,0
2022-09-01;MA11;23;55,25;27,659;2,874;10,78;0,0;0,0
2022-09-01;MA11;24;55,402;27,741;2,881;12,452;0,0;0,0
2022-09-01;MA11;25;55,453;27,741;2,884;10,868;0,088;0,0
2022-09-01;MA11;26;55,325;27,7;2,933;11,528;0,0;0,0
2022-09-01;MA11;27;55,523;27,782;2,888;11,528;0,0;0,0
2022-09-01;MA11;28;55,753;27,904;2,9;11,264;0,0;0,0
2022-09-01;MA11;29;55,478;27,741;2,885;11,396;0,0;0,0
2022-09-01;MA11;30;55,588;27,822;2,891;10,868;0,0;0,0
2022-09-01;MA11;31;55,487;27,782;2,941;11,396;0,0;0,0
2022-09-01;MA11;32;55,565;27,782;3,001;11,484;0,088;0,0
2022-09-01;MA11;33;55,749;27,904;2,844;11,484;0,0;0,0
2022-09-01;MA11;34;55,451;27,741;2,884;11,22;0,0;0,0
2022-09-01;MA11;35;55,636;27,822;2,894;11,484;0,0;0,0
2022-09-01;MA11;36;55,821;27,945;2,903;10,692;0,0;0,0
2022-09-01;MA11;37;55,638;27,822;2,894;11,308;0,0;0,0
2022-09-01;MA11;38;55,556;27,782;3,112;10,692;0,0;0,0
2022-09-01;MA11;39;55,478;27,741;2,885;11,308;0,0;0,0
2022-09-01;MA11;40;55,528;27,782;2,888;11,396;0,088;0,0
2022-09-01;MA11;41;55,567;27,822;2,89;11,176;0,0;0,0
2022-09-01;MA11;42;55,747;27,904;2,844;11,088;0,0;0,0
2022-09-01;MA11;43;55,733;27,904;2,899;11,44;0,0;0,0
2022-09-01;MA11;44;55,68;27,863;2,896;11,484;0,088;0,0
2022-09-01;MA11;45;55,683;27,863;2,896;11,308;0,0;0,0
2022-09-01;MA11;46;55,567;27,822;2,946;11,044;0,088;0,0
2022-09-01;MA11;47;55,495;27,782;2,886;11,748;0,044;0,0
2022-09-01;MA11;48;55,37;27,7;2,991;11,396;0,0;0,0
2022-09-01;MA11;49;55,549;27,782;2,889;11,132;0,0;0,0
2022-09-01;MA11;50;55,737;27,904;2,843;11,132;0,0;0,0
2022-09-01;MA11;51;55,336;27,7;2,989;11,572;0,0;0,0
2022-09-01;MA11;52;55,776;27,904;2,901;11,396;0,0;0,0
2022-09-01;MA11;53;55,284;27,659;3,041;11,836;0,088;0,0
2022-09-01;MA11;54;55,711;27,863;2,898;11,528;0,044;0,0
2022-09-01;MA11;57;55,357;27,7;2,879;10,868;0,0;0,0
2022-09-01;MA11;58;55,393;27,7;2,936;11,704;0,0;0,0
2022-09-01;MA11;59;55,389;27,7;2,881;11,44;0,0;0,0
2022-09-01;MA11;60;55,805;27,904;2,902;11,0;0,0;0,0
2022-09-01;MA11;61;55,694;27,863;2,897;11,0;0,0;0,0
2022-09-01;MA11;62;55,603;27,822;2,892;11,088;0,0;0,0
2022-09-01;MA11;63;55,692;27,863;2,896;11,396;0,0;0,0
2022-09-01;MA11;64;55,602;27,822;2,892;11,22;0,088;0,0
2022-09-01;MA11;65;55,354;27,7;2,879;11,044;0,044;0,0
2022-09-01;MA11;66;55,573;27,822;2,89;11,044;0,044;0,0
2022-09-01;MA11;67;55,4;27,7;3,047;11,308;0,0;0,0
2022-09-01;MA11;68;55,384;27,7;2,881;10,78;0,0;0,0
2022-09-01;MA11;69;55,333;27,7;2,878;11,044;0,0;0,0
2022-09-01;MA11;70;55,32;27,7;2,877;11,044;0,0;0,0
2022-09-01;MA11;71;55,509;27,782;2,887;11,044;0,0;0,0
2022-09-01;MA11;72;55,306;27,659;2,932;11,044;0,088;0,0
2022-09-01;MA12;1;65,178;20,864;4,302;11,088;0,044;0,031
2022-09-01;MA12;2;65,305;20,905;4,311;11,264;0,0;0,05
2022-09-01;MA12;3;65,038;20,813;3,838;11,264;0,0;0,009
2022-09-01;MA12;4;65,235;20,875;4,306;11,528;0,0;0,029
2022-09-01;MA12;5;65,228;20,875;4,24;11,352;0,0;0,048
2022-09-01;MA12;6;65,174;20,864;4,237;11,704;0,0;0,008
2022-09-01;MA12;7;65,09;20,834;4,296;11,264;0,0;0,028
2022-09-01;MA12;8;65,243;20,885;4,307;11,264;0,0;0,047
2022-09-01;MA12;9;65,263;20,885;4,308;11,264;0,0;0,007
2022-09-01;MA12;10;65,035;20,813;4,293;11,264;0,0;0,027
2022-09-01;MA12;11;64,987;20,803;4,29;10,824;0,088;0,046
2022-09-01;MA12;12;65,668;21,018;3,612;11,132;0,0;0,005
2022-09-01;MA12;13;65,103;20,834;4,297;11,22;0,0;0,025
2022-09-01;MA12;14;65,035;20,813;4,293;10,956;0,044;0,044
2022-09-01;MA12;16;65,023;20,813;4,292;11,0;0,0;0,022
2022-09-01;MA12;18;64,545;20,66;4,261;8,888;0,0;0,025
2022-09-01;MA12;19;64,4;20,609;4,251;10,648;0,0;0,045
2022-09-01;MA12;20;65,331;20,905;4,312;11,176;0,0;0,004
2022-09-01;MA12;21;65,421;20,936;4,318;11,088;0,0;0,024
2022-09-01;MA12;22;65,204;20,875;3,913;10,824;0,0;0,043
2022-09-01;MA12;23;65,258;20,885;4,242;10,912;0,0;0,004
